INDIKATOR_ID;INDIKATOR_NAME;INDICATOR_NAME_EN;EINHEIT_LANG (UNIT);QUELLE;BESCHREIBUNG;DESCRIPTION_EN
1424;07 Verwaltungsgebäude (Nettoaufwand);07 Administration building (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Archiv, Büros der allgemeinen Verwaltung, Gemeindehaus, Rathaus, Verwaltungsgebäude und Wohnungen im Verwaltungsgebäude. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenses for archive, offices of general administration, parish hall, town hall, administration building and apartments in the administration building. The permanent resident population is used to calculate the per capita values.
1425;08 Öffentliche Anlässe (Nettoaufwand);08 Public events (net expenses);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Beflaggung, Begrüssungen, Bundesfeier, Empfänge, Festanlässe, Geburtstage von Betagten, Jubiläumsfeier, Jungbürgerfeier, Repräsentationen und Traueranlässe. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenses for flags, greetings, national celebrations, receptions, celebratory occasions, birthdays of the elderly, anniversary celebrations, celebrations for young people, representations and funeral occasions. The permanent resident population is used to calculate the per capita values.
1426;10 Rechtsaufsicht (Nettoaufwand);10 legal supervision (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für die amtliche Vermessung, Brückenwaage, Eichmeister, geografisches Informationssystem (GIS), Geometer, Grundbuchamt, Grundbuchvermessung, Preiskontrollstelle, Rechtsaufsicht, Schätzungswesen und Schlichtungsstelle für Miet- und Pachtverhältnisse. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for official surveying, weighbridge, calibration supervisor, geographical information system (GIS), geometer, land registry, land registry survey, price control office, legal supervision, appraisal and arbitration board for tenancy and lease agreements. The permanent resident population is used to calculate the per capita values.
1427;11 Polizei (Nettoaufwand);11 police (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Kantonspolizei, Polizei (Gemeindepolizei, Securitas), Stadtpolizei und die kantonale Notrufzentrale. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenses for the canton police, police (community police, Securitas), city police and the cantonal emergency call center. The permanent resident population is used to calculate the per capita values.
1428;12 Rechtssprechung (Nettoaufwand);12 jurisprudence (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für das Vermittleramt. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expense for the agency. The permanent resident population is used to calculate the per capita values.
1429;14 Feuerwehr (Nettoaufwand);14 fire brigade (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Chemiewehr-Stützpunkte, Feuerschauer, Feuerschutzbeamten, Feuerwehr, Feuerwehrgebäude, Heustockkontrollen, Hydrantennetz, Regionaler Stützpunkt, Schadenwehr, Strassenrettungen sowie Verkehrs- und Ordnungsdienst. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenses for chemical defense bases, fire showers, fire protection officers, fire brigade, fire brigade building, haystack controls, hydrant network, regional base, damage service, road rescue services as well as traffic and security services. The permanent resident population is used to calculate the per capita values.
1430;15 Militär (Nettoaufwand);15 military (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Einquartierungen in Truppenunterkunft, Militär, Ortsquartiermeister, Schiessanlagen und Schützenvereine. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenses for billeting in troop accommodation, military, local quartermasters, shooting ranges and rifle clubs. The permanent resident population is used to calculate the per capita values.
1431;16 Zivilschutz (Nettoaufwand);16 civil defense (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Bereitstellungsanlage, Bevölkerungsschutz, Gesamtverteidigung, geschützte Operationsstellen (GOPS), geschützte Pflegeräume, Katastrophenhilfeorganisation, Kommandoposten, Kontrollstelle für Schutzraumbauten, kriegswirtschaftliche Vorsorge, Kulturgüterschutz, öffentliche Schutzräume, Pflichtlagerhaltung, Rationierung, Sanitätshilfsstelle, Sanitätsposten, wirtschaftliche Landesversorgung, zivilen Gemeindeführungsstab und Zivilschutzorganisation. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for provision system, civil protection, general defense, protected operation centers (GOPS), protected care rooms, disaster relief organization, command post, control point for shelter structures, war economic precautions, protection of cultural property, public protection rooms, compulsory storage, rationing, medical assistance center, medical staff and national economic organization, civilian community protection. The permanent resident population is used to calculate the per capita values.
1432;19 Sicherheitsverbund (Nettoaufwand);19 Security network (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für die regionalen Sicherheitsverbunde. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for the regional security associations. The permanent resident population is used to calculate the per capita values.
1433;21 Volksschule Total (Nettoaufwand);21 Total primary school (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand, umfassend Handarbeit, Hauswirtschaftsunterricht, Kindergarten, Kochschule, Musikschule, Primarschule, Realschule, Schulanlagen, Schulanlässe, Schülertransporte, Schulleitung, Schulliegenschaften, Schulverwaltung, Sekundarschule, Sonderschule, Spielgruppen, Steuerbedarf der Schulgemeinden, Volksschule und Werken. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure, including manual labor, home economics, kindergarten, cooking school, music school, primary school, secondary school, school facilities, school events, school transport, school management, school properties, school administration, secondary school, special school, playgroups, tax requirements of the school communities, elementary school and factories. The permanent resident population is used to calculate the per capita values.
1434;210 Finanzbedarf autonom. Schulgem.(Nettoaufwand);210 Autonomous financial needs. School community (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand autonomer Schulgemeinden für den gesamten Schulbetrieb, umfassend Handarbeit, Hauswirtschaftsunterricht, Kindergarten, Kochschule, Musikschule, Primarschule, Realschule, Schulanlagen, Schulanlässe, Schülertransporte, Schulleitung, Schulliegenschaften, Schulverwaltung, Sekundarschule, Sonderschule, Spielgruppen, Volksschule und Werken. Dieser Indikator trifft nur auf politische Gemeinden zu, bei denen die Volksschule mindestens teilweise durch autonome Schulgemeinden geführt wird.  Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure of autonomous school communities for the entire school operation, including manual labor, home economics, kindergarten, cooking school, music school, primary school, secondary school, school facilities, school events, school transport, school management, school properties, school administration, secondary school, special school, play groups, elementary school and factories. This indicator only applies to political communities in which the primary school is at least partially run by autonomous school communities. The permanent resident population is used to calculate the per capita values.
1435;211 Kindergarten (Nettoaufwand);211 kindergarten (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand der in die Einheitsgemeinde integrierten Schulen für den Kindergartenbetrieb.Dieser Indikator enthält nur für reine Einheitsgemeinden oder Einheitsgemeinden mit Beteiligung an autonomen Schulgemeinden Werte. Für politische Gemeinden, welche die Volksschule vollständig an autonome Schulgemeinden bzw. -träger delegiert haben, liegen keine Angaben vor.  Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure of the schools integrated into the single municipality for the day-care center. This indicator only contains values ??for pure single municipalities or single municipalities with participation in autonomous school municipalities. No information is available for political communities that have completely delegated primary schools to autonomous school communities or school bodies. The permanent resident population is used to calculate the per capita values.
1436;212 Primarstufe (Nettoaufwand);212 primary level (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand der in die Einheitsgemeinde integrierten Schulen für den Primarschulbetrieb.Dieser Indikator enthält nur für reine Einheitsgemeinden oder Einheitsgemeinden mit Beteiligung an autonomen Schulgemeinden Werte. Für politische Gemeinden, welche die Volksschule vollständig an autonome Schulgemeinden bzw. -träger delegiert haben, liegen keine Angaben vor.  Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure of schools integrated into the unitary community for primary school operation. This indicator only contains values ??for pure unitary communities or unitary communities with participation in autonomous school communities. No information is available for political communities that have completely delegated primary schools to autonomous school communities or school bodies. The permanent resident population is used to calculate the per capita values.
1437;213 Oberstufe (Nettoaufwand);213 upper level (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand der in die Einheitsgemeinde integrierten Schulen für den Oberstufenschulbetrieb.Dieser Indikator enthält nur für reine Einheitsgemeinden oder Einheitsgemeinden mit Beteiligung an autonomen Schulgemeinden Werte. Für politische Gemeinden, welche die Volksschule vollständig an autonome Schulgemeinden bzw. -träger delegiert haben, liegen keine Angaben vor.  Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure of the schools integrated into the unitary community for the upper-level school operation. This indicator only contains values ??for pure unitary communities or unitary communities with participation in autonomous school communities. No information is available for political communities that have completely delegated primary schools to autonomous school communities or school bodies. The permanent resident population is used to calculate the per capita values.
1438;214 Musikschule (Nettoaufwand);214 music school (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand der in die Einheitsgemeinde integrierten Schulen für den Betrieb der Musikschule.Dieser Indikator enthält nur für reine Einheitsgemeinden oder Einheitsgemeinden mit Beteiligung an autonomen Schulgemeinden Werte. Für politische Gemeinden, welche die Volksschule vollständig an autonome Schulgemeinden bzw. -träger delegiert haben, liegen keine Angaben vor.  Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for the operation of the music school by schools integrated into the unitary community. This indicator only contains values ??for pure unitary communities or unitary communities with participation in autonomous school communities. No information is available for political communities that have completely delegated primary schools to autonomous school communities or school bodies. The permanent resident population is used to calculate the per capita values.
1439;215 Fördernde Massnahmen (Nettoaufwand);215 Support measures (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand der in die Einheitsgemeinde integrierten Schulen für Einführungsklassen, heilpädagogische Früherziehung, Kleinklassen, Logopädie, Legasthenie- und Diskalkulietherapie, Psychomotorik und Rhythmik, Nachhilfe- und Deutschunterricht für Schüler mit Migrationshintergrund. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure of the schools integrated into the unitary community for introductory classes, remedial early education, small classes, speech therapy, dyslexia and discalculation therapy, psychomotor skills and rhythm, tutoring and German lessons for students with a migration background. The permanent resident population is used to calculate the per capita values.
1440;216 Schulanlässe, Freizeitgest. (Nettoaufwand);216 school events, leisure activities (Net expense);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand der in die Einheitsgemeinde integrierten Schulen für Schulanlässe und übrige schulische Freizeitgestaltung.Dieser Indikator enthält nur für reine Einheitsgemeinden oder Einheitsgemeinden mit Beteiligung an autonomen Schulgemeinden Werte. Für politische Gemeinden, welche die Volksschule vollständig an autonome Schulgemeinden bzw. -träger delegiert haben, liegen keine Angaben vor.  Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure of schools integrated into the unitary community for school events and other school leisure activities. This indicator only contains values ??for pure unitary communities or unitary communities with participation in autonomous school communities. No information is available for political communities that have completely delegated primary schools to autonomous school communities or school bodies. The permanent resident population is used to calculate the per capita values.
1441;217 Schulanlagen (Nettoaufwand);217 school facilities (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand der in die Einheitsgemeinde integrierten Schulen für den Betrieb und Unterhalt von Schulanlagen.Dieser Indikator enthält nur für reine Einheitsgemeinden oder Einheitsgemeinden mit Beteiligung an autonomen Schulgemeinden Werte. Für politische Gemeinden, welche die Volksschule vollständig an autonome Schulgemeinden bzw. -träger delegiert haben, liegen keine Angaben vor.  Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure of schools integrated into the single municipality for the operation and maintenance of school facilities.This indicator only contains values ??for pure single municipalities or single municipalities with participation in autonomous school communities. No information is available for political communities that have completely delegated primary schools to autonomous school communities or school bodies. The permanent resident population is used to calculate the per capita values.
1442;218 Schulverwaltung (Nettoaufwand);218 school administration (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand der in die Einheitsgemeinde integrierten Schulen für die Schulverwaltung.Dieser Indikator enthält nur für reine Einheitsgemeinden oder Einheitsgemeinden mit Beteiligung an autonomen Schulgemeinden Werte. Für politische Gemeinden, welche die Volksschule vollständig an autonome Schulgemeinden bzw. -träger delegiert haben, liegen keine Angaben vor.  Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure of schools integrated in the single municipality for school administration. This indicator only contains values ??for purely single municipalities or for single municipalities with participation in autonomous school municipalities. No information is available for political communities that have completely delegated primary schools to autonomous school communities or school bodies. The permanent resident population is used to calculate the per capita values.
1443;219 Übrige Schulbetriebskosten (Nettoaufwand);219 Other school operating costs (net costs);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand der in die Einheitsgemeinde integrierten Schulen für Informatik, schulpsychologischen Dienst, Schulreifeabklärungen, Eltern- und Erwachsenenbildung, Schülertransport, Mittagstisch und Frühförderung.Dieser Indikator enthält nur für reine Einheitsgemeinden oder Einheitsgemeinden mit Beteiligung an autonomen Schulgemeinden Werte. Für politische Gemeinden, welche die Volksschule vollständig an autonome Schulgemeinden bzw. -träger delegiert haben, liegen keine Angaben vor.  Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure of the schools integrated into the unitary community for computer science, school psychology service, school readiness assessments, parent and adult education, school transport, lunch and early intervention.This indicator only contains values ??for pure unitary congregations or unitary congregations with participation in autonomous school communities. No information is available for political communities that have completely delegated primary schools to autonomous school communities or school bodies. The permanent resident population is used to calculate the per capita values.
1444;22 Sonderschulen (Nettoaufwand);22 special schools (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für heilpädagogische Schulen und private Sonderschulen. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for special education schools and private special schools. The permanent resident population is used to calculate the per capita values.
1445;25 Allgemeinbildende Schulen (Nettoaufwand);25 general education schools (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für allgemeinbildende Schulen, allgemeines Berufsvorbereitungsjahr, berufliche Vorkurse, Integrationskurs, Musikunterricht für Schulentlassene, Vorkurs für Gestaltung, Vorlehre und Vorlehre fremdsprachiger Jugendlicher. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for general schools, general vocational preparation year, preliminary professional courses, integration course, music lessons for school leavers, preliminary course for design, pre-apprenticeship and pre-apprenticeship for foreign-language young people. The permanent resident population is used to calculate the per capita values.
1446;26 Höhere Berufsbildung (Nettoaufwand);26 Higher vocational training (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für höhere Berufsbildung, Ingenieurschulen, technische Fachschulen und Wirtschaftsschulen. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expense for higher vocational training, engineering schools, technical colleges and business schools. The permanent resident population is used to calculate the per capita values.
1447;27 Hochschulen, Forschung (Nettoaufwand);27 universities, research (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Forschung, Hochschulen und Universitäten. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for research, colleges and universities. The permanent resident population is used to calculate the per capita values.
1448;29 Übrige Bildungsstätten (Nettoaufwand);29 Other educational institutions (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Elternschulen, Erwachsenenbildung, Volkshochschule und die Zentralstelle für berufliche Weiterbildung. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenses for parent schools, adult education, adult education centers and the central office for professional development. The permanent resident population is used to calculate the per capita values.
1449;30 Kulturförderung (Nettoaufwand);30 cultural funding (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Ausstellungen, Bibliothek, Bilder, Bühne, Chöre, Chroniken, Dorfvereine, Fasnachtsgesellschaft, Galerie, Gemeindebibliothek, Gemeindegeschichte, Gemeindemuseum, Gemeindesaal, Gesangsverein, Historischer Verein, Konzerte, Kulturförderung, Kunst, Mehrzweckhalle, Museum, Musikverein, Orchesterverein, Tambourenverein, Theater und Trachtenverein. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for exhibitions, library, pictures, stage, choirs, chronicles, village associations, carnival society, gallery, community library, community history, community museum, community hall, choral society, historical association, concerts, cultural promotion, art, multi-purpose hall, museum, music association, orchestra association, drum club, theater and traditional costume association. The permanent resident population is used to calculate the per capita values.
1450;31 Denkmalpflege, Heimatschutz (Nettoaufwand);31 Preservation of historical monuments, heritage protection (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Altstadtpflege, Denkmalpflege, Erhaltung historischer Kulturgüter, Heimatschutz, Ortsbildinventar und Ortsbildpflege. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for old town maintenance, monument preservation, preservation of historical cultural assets, homeland protection, site inventory and site maintenance. The permanent resident population is used to calculate the per capita values.
1451;32 Medien (Nettoaufwand);32 media (net expense);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Fernsehen, Gemeinschaftsantenne, Presse und Radio. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for television, community antenna, press and radio. The permanent resident population is used to calculate the per capita values.
1452;33 Parkanlagen, Wanderwege (Nettoaufwand);33 parks, hiking trails (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Brunnen, Gartenbauamt, Grünzonen, Parkanlagen, Ruhebänke, Seeufer, Spielplätze, Stadtgärtnerei, Wanderwege und Wasserspiele Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for fountains, horticultural office, green areas, parks, benches, lakeside, playgrounds, urban gardening, hiking trails and water features The permanent resident population is used to calculate the per capita values.
1453;34 Sport (Nettoaufwand);34 sport (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Finnenbahn, Fussballplatz, Hallenbad, Kunsteisbahn, Schwimmbad, Skilift, Sport, Sportplätze, Sportveranstaltungen, Sportvereine, Turnhalle und Vita-Parcours. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for Finnish rink, soccer field, indoor swimming pool, artificial ice rink, swimming pool, ski lift, sport, sports fields, sporting events, sports clubs, gymnasium and vita parcours. The permanent resident population is used to calculate the per capita values.
1454;37 Übrige Freizeitgestaltung (Nettoaufwand);37 Other leisure activities (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Camping, Familiengärten, Freizeitgestaltung, Freizeithaus, Freizeitwerkstätte, Jugendherberge, Jugendparlament, Jugendtreff, Jugendvereine, Jugendzentrum, Kino, Schrebergärten und Tierpark. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for camping, family gardens, leisure activities, leisure center, leisure workshop, youth hostel, youth parliament, youth club, youth clubs, youth center, cinema, allotment gardens and zoo. The permanent resident population is used to calculate the per capita values.
1455;41 Spitäler, Kranken- und Pflegeh. (Nettoaufw.);41 Hospitals, sick and nursing care. (Net expense);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für stationäre Pflegefinanzierung sowie stationäre Akut- und Übergangspflege. Das Konto 41 wird  ab 1.1.2011 für die Beiträge der Gemeinden an der stationäre Pflege gemäss dem Gesetz über die Pflegefinanzierung (sGS 331.2)  verwendet. Zuvor waren die Gemeinden nicht zur Pflegefinanzierung verpflichtet. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenses for inpatient care financing as well as inpatient acute and transitional care. From 1.1.2011 account 41 will be used for the contributions of the municipalities to inpatient care in accordance with the law on care financing (sGS 331.2). Previously, the municipalities were not obliged to finance care. The permanent resident population is used to calculate the per capita values.
1456;42 Ambulante Pflegefinanzierung (Nettoaufwand);42 Outpatient care financing (net expense);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für ambulante Pflege (Spitex / Pflegefachpersonen) sowie ambulante Akut- und Übergangspflege. Das Konto 42 wird  ab 1.1.2011 für die Beiträge der Gemeinden an der ambulanten Pflege gemäss dem Gesetz über die Pflegefinanzierung (sGS 331.2)  verwendet. Zuvor waren die Gemeinden nicht zur Pflegefinanzierung verpflichtet. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for outpatient care (Spitex / nursing professionals) as well as outpatient acute and transitional care. Account 42 will be used from 1.1.2011 for the municipalities' contributions to outpatient care in accordance with the Law on Care Financing (sGS 331.2). Previously, the municipalities were not obliged to finance care. The permanent resident population is used to calculate the per capita values.
1457;45 Ambul. Krankenpflege,Geburtshilfe (Nettoaufw.);45 ambul. Nursing, obstetrics (net expenses);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Geburtshilfe, Familienhilfe, Geburtshilfe, Gemeindekrankenpflege, Haushilfe, Hauspflege, Hebamme, Krankenpflegeverein, Mütter- und Väterberatung, Palliativnetz Ostschweiz (Sterbehilfe), Samariterverein und Spitex. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for obstetrics, family help, obstetrics, community nursing, home help, home care, midwife, nursing association, mother and father counseling, palliative network Eastern Switzerland (euthanasia), Samaritan association and Spitex. The permanent resident population is used to calculate the per capita values.
1458;47 Schulgesundheitsdienst (Nettoaufwand);47 School health service (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Lauskontrolle, Schirmbildaktionen, Schularzt und Schulzahnpflege. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for lice control, screen campaigns, school doctor and school dental care. The permanent resident population is used to calculate the per capita values.
1459;48 Lebensmittelkontrolle (Nettoaufwand);48 food control (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Lebensmittel- und Pilzkontrolle. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for food and fungus control. The permanent resident population is used to calculate the per capita values.
1460;49 Übriges Gesundheitswesen (Nettoaufwand);49 Other healthcare (net expenses);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Bergrettung, Defibrillator, Desinfektionen, Gesundheitsberatung und Vorsorge, Heilstätten für Alkoholkranke, Krankheitsbekämpfung, Lebensrettungsgesellschaft, Rega, Schutzimpfungen und Seerettungsdienst.  Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenses for mountain rescue, defibrillator, disinfection, health advice and prevention, sanatoriums for alcoholics, disease control, lifesaving company, Rega, vaccinations and sea rescue service. The permanent resident population is used to calculate the per capita values.
1461;50 Sozialversicherungen (Nettoaufwand);50 social insurances (net expense);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für AHV-Beiträge Nichterwerbstätiger, Ergänzungsleistungen zur AHV und IV, Krankenpflege-Grundversicherung, Krankenversicherungsprämien und Kostenbeiträge und Sozialversicherungen. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for AHV contributions by non-employed persons, supplementary benefits to AHV and IV, basic health insurance, health insurance premiums and cost contributions and social insurance. The permanent resident population is used to calculate the per capita values.
1462;53 Allgemeine Sozialhilfe (Nettoaufwand);53 General social assistance (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Altersausflug, Altersbetreuung, Altersturnen, Amtsvormundschaft, Arbeitsgemeinschaft für Ausländerfragen, Asylsuchende, Beratungsstelle für Alkoholprobleme, Beratungsstelle für Suchtprobleme, Blaues Kreuz, Drogenberatung, Eheberatung, Familienplanung, Flüchtlingshilfe, Frauenhaus, kontrollierte Drogenabgabe, Pro Senectute, Schuldenberatung, Sozialfürsorge, Suchtprävention, Verbilligungsaktionen, Vergünstigungen und Vormundschaft. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for old age excursion, old age care, old age gymnastics, official guardianship, working group for foreigner issues, asylum seekers, advice center for alcohol problems, advice center for addiction problems, Blue Cross, drug advice, marriage advice, family planning, refugee aid, women's shelter, controlled drug delivery, Pro Senectute, debt advice, social welfare, addiction prevention , Perks and guardianship. The permanent resident population is used to calculate the per capita values.
